,result
0,i ' m not sure if i ' m ready for that .
1,i ' m sure they did .
2,i ' m not sure what the problem is .
3,i ' m so excited for this game !
4,i think they deserved it .
5,i ' m not sure i ' m ready to be a part of this .
6,i ' m so happy for you ! ! !
7,4 . i ' m not sure i ' m ready to watch it .
8,i do too . i ' m not sure why .
9,i ' m so glad you like it !
10,nunca vi nada de cachecol . . .
11,i ' m sure he ' s not going to be assassinated .
12,she is a great role model .
13,i would talk your mom into swallowing instead .
14,i ' m not sure if it ' s a good tweet or not .
15,i ' m not sure if i ' m the only one who feels this way .
16,i ' m sure she ' s a good person .
17,i ' m not saying you should care about her crimes . i ' m saying you should care about the fact that she ' s a criminal .
18,i ' m not saying they ' re good . i ' m saying they ' re not as good as the jazz .
19,i ' m so excited for this !
20,i ' m not sure i ' m the only one who thinks that .
21,i ' m not sure . i ' m not sure if it ' s safe .
22,i ' m gonna finish my essay and then go to the gym
23,the fbi is not rigged . they are just not doing their job .
24,i ' m so excited ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
25,i ' m sure it was . i ' m sure it was .
26,you ' re welcome !
27,"i ' m not sure what you mean by "" stand up to the russians "" ."
28,thanks for watching !
29,i ' m watching it now . it ' s good .
30,thanks ! i ' m glad you liked it .
31,i ' m sure the pentagon is doing a great job of preparing for this .
32,i ' m not saying tear down the system . i ' m saying that the system is broken .
33,i ' m pretty sure chris wallace got the remaining 6 % .
34,that is so sad . i am so sorry .
35,i ' m not contempt for her . i ' m contempt for the people who voted for her .
36,i ' m not sure if you ' re being sarcastic or not .
37,"i ' m not skinny , i ' m just not as fat as you ."
38,he ' s lying on every issue .
39,i ' m praying for you too .
40,i love you too ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
41,she ' s a liar and a liar .
42,i agree . i have been in a lot of situations where i was scared and i was just so angry .
43,i ' m so excited for you ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
44,i ' m not sure what you mean .
45,you are a disgrace to america .
46,"i ' m sorry , i ' m not sure what you mean ."
47,i ' m not sure what you ' re talking about .
48,i agree . i think it ' s a good thing that we have the ability to be ourselves .
49,i ' m not sure what you mean .
50,she ' s a liar and a liar .
51,she ' s a liar and a liar .
52,"i ' m not sure what you mean by "" resurrection "" ."
53,i ' m not sure . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
54,i ' m not sure that ' s the case .
55,i ' m not sure what you mean .
56,i ' m so proud of you
57,i agree . i think they are going to lose .
58,i ' m so excited for this !
59,i ' m not sure what you ' re talking about .
60,i ' m sure it will be a lot of fun . i ' m sure it will be a lot of fun .
61,i ' m sure they ' ll be able to make a lot of toads .
62,i ' m in sc too ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
63,i ' m not blaming india . i ' m blaming the people who are being harassed by the police .
64,i ' m not sure how to build a sb winner . i think the bucs are a top 2 team in dvoa .
65,i ' m sure they ' re all paid for by the same person .
66,i ' m not sure that ' s true . i think it ' s more that the uk is a gateway to the uk ' s independence .
67,i agree . i don ' t like her either .
68,i ' m not sure i follow .
69,i ' m not sure i ' m ready for this
70,i ' ve never been to island .
71,i ' m not sure that ' s true . i think she ' ll be fine .
72,oh no ! what happened ?
73,i ' m so excited for this ! ! !
74,"i ' m not sure if it ' s available on the app store , but i ' m sure it ' s on the app store ."
75,i ' m not a fan of her either .
76,i ' m not sure what you mean .
77,i would take my child ' s life to save her . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
78,oh no ! did you get a good look at it ?
79,i would . robinson is a better player than maclin .
80,i ' m sure they ' re all in the same room .
81,i ' m not sure what you ' re talking about .
82,i ' m not sure i ' m the only one who feels that way .
83,i agree .
84,i ' m so excited ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
85,i think he ' s just trying to get his message across .
86,i ' m not sure what that means .
87,i ' m terrified that he will be a challenge to hillary and draw broad support from unions .
88,i ' m so jealous ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
89,i ' m not sure if i ' m ready for that deep inside of me .
90,"oh , that ' s good . what did you eat ?"
91,she ' s a liar and a liar .
92,thanks bro !
93,"hi , please submit your details here :"
94,i ' m not a hillary fan .
95,i ' m going to livestream tonight .
96,i ' m not sure it did . i think it was a big part of the election .
97,i ' m sure he ' ll be able to fix it .
98,i ' m not sure . i ' m not sure if it ' s on properties .
99,i ' m not sure . i ' m not sure if it works .
100,i agree . apples are much better than apples .
101,i ' m so proud of you ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
102,i ' m not sure . i ' m not a scientist . i ' m just a fan of the idea that the world is a big place .
103,i ' m so excited for this ! ! !
104,i ' m sorry to hear that .
105,"i ' m a big fan of the "" mauvais homme "" ."
106,that is so sad .
107,she ' s a disgrace .
108,the debate was a joke .
109,i ' m sure he ' s a good boy .
110,i ' m not interrupting the script . i ' m just saying that the script is not the only thing that matters .
111,i ' m not sure what the plan is . i ' m sure it ' s a good one .
112,i love making crock pot food !
113,"i ' m not sure what you mean by "" slower "" ."
114,"i ' m not sure what you mean by "" approved "" ."
115,i ' m not even gonna respond to this
116,i don ' t think so . china is a very strong country .
117,i know right ? i hate when people think they are better than me .
118,i ' m sure he ' s a christian .
119,i ' m not sure that ' s true . i think they ' ll have to buy the cars themselves .
120,"i ' m not sure i agree . i think she ' s a bit too much of a "" i ' m not a fan of trump "" guy ."
121,i ' m sure he ' s a great guy .
122,i ' m not sure what you mean by that .
123,trump is a fraud . he is a fraud .
124,that ' s terrible . i ' m sorry to hear that .
125,thank you ! ! !
126,"i know , but i ' m not sure if i ' m ready for that yet ."
127,i ' ve been to clyde fraziers once . it was a great experience .
128,what torture ?
129,i ' m so glad you liked this !
130,i said you were a muslim because you are a muslim .
131,"and he also gave women their rights , and he also gave women their rights , and he also gave them their rights ."
132,i know he was safe .
133,i ' m not showing off . i ' m showing off .
134,i ' m not sure what you ' re talking about .
135,i ' m so happy for you ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
136,yes ! i ' m in nyc so i can ' t send you anything .
137,i ' m not sure what you ' re talking about .
138,she ' s a liar and a liar .
139,i ' m so jealous ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
140,i ' m not sure if i ' m ready for this
141,i agree . i would have done the same thing .
142,i ' m not sure i ' m up for that .
143,i agree . he should have been hitting 9th .
144,i ' m not sure what you mean by specs .
145,what did you read ?
146,i ' m sure he ' s a great guy .
147,i ' m sure he ' s going to be a great heel
148,i ' m still up . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
149,i ' m so ready for this
150,i ' m not sure if i ' m ready for this .
151,i agree . i was very impressed with the performance .
152,i ' m not sure if this is a good thing or bad thing .
153,i ' m sure he ' s not paying for the trips .
154,thanks for sharing !
155,i ' m not sure if i ' m allowed to say this but i love the one in the corner of the corner of 6th and 6th ave .
156,i ' m so excited for this tour
157,i ' m not sure i agree . i think it ' s more about the idea that the left is the only one who can do it .
158,i ' m not sure why he ' s in there . he ' s not a good player .
159,i ' m gonna be in the city tomorrow . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
160,i ' m not sure what you mean .
161,i have ? what do you mean ?
162,i ' m not sure i ' d call it giant food .
163,i ' m not sure i follow .
164,i ' m so excited for that !
165,i ' m not sure i agree . i think the data is more valuable than the data itself .
166,i ' m so glad you like it !
167,i ' m sure he will . he ' s a great player .
168,i ' m sure he ' s a good guy .
169,i ' m not sure i ' m ready for that .
170,i ' m not sure if it ' s a voodoo spell or a pigeon . i ' m not sure .
171,what happened ?
172,oh no ! i ' m sorry to hear that . what happened ?
173,"i ' m not sure what you mean by "" revitalize "" ."
174,you ' re a liar . you ' re a liar . you ' re a liar . you ' re a liar . you ' re a liar . you ' re a liar .
175,"i ' m not sure what you mean by "" republisher "" ."
176,i ' m sure they ' re not anti - trump . they ' re anti - trump .
177,i agree . i don ' t like kupchak at all .
178,i ' m not sure if i ' m ready for this
179,"i ' m not gonna lie , i ' m a little disappointed ."
180,"i ' m not saying that teachers should be able to do that , but they should be able to do it ."
181,i ' m not sure . i ' ll check .
182,that ' s awesome ! i ' ve never been to australia .
183,i ' m not a christian either . i ' m a christian who believes in the constitution .
184,"i ' m not sure if you ' ve read the new book , but it ' s a great read ."
185,i ' m so excited ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
186,i ' m not saying it does . i ' m saying it ' s a bit of a stretch to say it doesn ' t .
187,i ' m not sure what you ' re saying .
188,i ' m not even gonna talk to you
189,i ' m going to do it !
190,i ' m not sure he ' s a good blocker . he ' s a good blocker but he ' s not a good blocker .
191,i ' ve never heard of that before . what does it do ?
192,"oh wow , that ' s a scary place ."
193,i hope so .
194,i ' m not sure he ' s ready for that .
195,i ' m in my late 20 ' s . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
196,i ' m down ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
197,i ' m so excited ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
198,i ' m not sure what you mean by mean spirited ideas .
199,i ' m sorry to hear that . what did you say ?
